challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
t-F2F,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,25,200,sqrt,1.0,1,2,0.55561,0.98435,0.7494,0.7678
t-F2F,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96601,0.29915,0.17771,0.98294
t-F2F,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.62577,0.98245,0.74679,0.80756
t-F2F,pcp,scaffold-generic,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.95853,0.30356,0.1796,0.97913
t-F2F,pcp,scaffold-generic,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,-1.00393,1.43415,1.21794,0.41455
t-F2F,pcp,scaffold-generic,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96486,0.3039,0.17981,0.98233
t-F2F,pcp,scaffold-generic,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,-0.91161,1.43994,1.21725,0.47628
t-F2F,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96323,0.29054,0.17766,0.98169
t-F2F,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.888,0.5065,0.31852,0.94238
t-F2F,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96881,0.29018,0.1777,0.98446
t-F2F,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.90464,0.50672,0.31815,0.95116
t-F2F,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.95959,0.30028,0.17905,0.97972
t-F2F,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.55261,0.99417,0.75949,0.75869
t-F2F,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96578,0.30017,0.17907,0.98284
t-F2F,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.60989,1.00582,0.77008,0.79675
t-F2F,Morgan,scaffold-generic,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.95829,0.30446,0.18075,0.97902
t-F2F,Morgan,scaffold-generic,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,-0.98133,1.42269,1.19776,0.47413
t-F2F,Morgan,scaffold-generic,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,25,200,sqrt,1.0,1,2,0.9637,0.30884,0.18379,0.98174
t-F2F,Morgan,scaffold-generic,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,25,200,sqrt,1.0,1,2,-1.0496,1.4501,1.22384,0.51431
t-F2F,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96334,0.29012,0.17781,0.98175
t-F2F,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.88852,0.50534,0.31845,0.94266
t-F2F,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96877,0.29037,0.17807,0.98445
t-F2F,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.90523,0.50522,0.31902,0.95148
